"id","name","country","city","website","phone","email","address","created_by","updated_by","created_at","updated_at"
"1120","ALIS Tech s.r.o.","CZECH REPUBLIC","BRNO"," http://www.alis-tech.com","42073923398","info@alis-tech.com","ALIS Tech s.r.o.
Purkynova 127, 61200 Brno
Czechia","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1121","ALWIT GmbH","Germany","Kattegatweg 6, 46446 Emmerich am Rhein"," http://www.alwit.de","49282891460","info@alwit.com","ALWIT GmbH
Kattegatweg 6, 46446 Emmerich am Rhein
Germany","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1122","Amazing Industries (Partnership)","Pakistan","Sublime Chowck, Defence Road, 51310 Sialkot"," http://www.amazingind.com","9230183878700","info@amazingind.com","Amazing Industries (Partnership)
Sublime Chowck, Defence Road, 51310 Sialkot
Pakistan","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1123","ANA INDUSTRIAL SAFETY PRIVATE LTD.","India","700 016 Kolkata","anaindus.com ","3322265363","anaind.safety@gmail.com","ANA INDUSTRIAL SAFETY PRIVATE LTD. 
99A, Park Street, Siddha Park Building 5th Floor, Unit No. 5A
700 016 Kolkata, India","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1124","Anderco Safety (Irl) Ltd","IRELAND","CORK"," http://www.anderco.eu","353214351600","info@anderco.eu","Anderco Safety (Irl) Ltd
52 Eastgate Drive, Little Island, T45KX50 Cork
Ireland","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1125","APRILCLOG Aps","DENMARK","VEJLE"," http://www.aprilclog.com","457523700793","info@aprilclog.com","APRILCLOG Aps
Bellisvej 32, 7100 Vejle
Denmark","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1126","ARBESKO AB","Sweden","702 26 Örebro","arbesko.com ","4619306600","info@arbesko.se","ARBESKO AB 
Propellervagen 5 
702 26 Örebro, Sweden
P.O. Box 1642
701 16 Örebro, Sweden","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1127","ARMBURY INC.","USA","NC"," http://armbury.com","17047073037",,"ARMBURY INC.
4 Long Shoals Rd, 28704 Arden, NC
USA","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1128","A-Safe GmbH","Germany","Sitzkrüger Moor 6, 23879 Mölln"," http://www.asafe.de","4945429958040","vertrieb@asafe.de","A-Safe GmbH
Sitzkrüger Moor 6, 23879 Mölln
Germany","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1129","ASAP International Sdn Bhd","Malaysia","Selangor"," http://www.whyasap.com","60351910166","info@whyasap.com","No. 1, Jalan Sitar 33/6, Seksyen 33, 40400 Shah Alam, Selangor Malaysia","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1130","asecos GmbH Sicherheit und Umweltschutz","Germany","Weiherfeldsiedlung 16-18, 63584 Gründau"," http://www.smokeandtalk.com","49605192200","info@asecos.com","asecos GmbH Sicherheit und Umweltschutz
Weiherfeldsiedlung 16-18, 63584 Gründau
Germany","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1131","ASIF SULTAN TRADE IMPEX Partnership","PAKISTAN","SIALKOT"," http://www.asifsultan.com","92523613535","mail@asifsultan.com","ASIF SULTAN TRADE IMPEX Partnership
Pasrur Road, Dhera Sandha, 51310 Sialkot
Pakistan","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1132","ATLAS EXPORTS (PVT) LTD.","Pakistan","57400 Lahore","atlasexports.com.pk ","924237514803","amannan@lhr.comsats.net.pk","ATLAS EXPORTS (PVT) LTD. 
House No-255 Block-J Street-11 Eme Housing Society Multan Road
57400 Lahore, Pakistan","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1133","Atlas Schuhfabrik GmbH & Co. KG","Germany","Frische Luft 159, 44319 Dortmund"," http://www.atlasschuhe.de","4923192420","info@atlasschuhe.de","Atlas Schuhfabrik GmbH & Co. KG
Frische Luft 159, 44319 Dortmund
Germany","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1134","ATOM Corporation JSC","Japan","7292317 Hiroshima","atomgloves.com ","81846261258","tmorishita@atom-glove.co.jp","ATOM Corporation JSC 
4-2-1 Tadanoumi-Higashimachi Takehara
7292317 Hiroshima, Japan","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1135","Audinnov SAS","France","71800 Varennes sous Dun","audinnov.fr ","33385280141","contact@audinnov.fr","Audinnov SAS 
ZA DU Pasquier 3 
71800 Varennes sous Dun, France","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1136","AUSTRIALPIN GmbH","AUSTRIA","Österreich","austrialpin.at/","435226000000","office@austrialpin.at","A 6166 Fulpmes - Industriegelände Zone C 2","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1137","Automax Industrial Ltd.","CHINA","GAOQIAO TOWN, NINGBO"," http://www.greendevilsafety.com","8657488446248","max@greendevilsafety.com","Automax Industrial Ltd.
Nr. 75, Baowang Road, GaoQiao Ind. Zone, 315174 GaoQiao Town, Ningbo
China","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1138","Azett GmbH & Co. KG","Germany","Gutenbergstr. 8, 87781 Ungerhausen"," http://www.azett.de","498393922700","info@azett.de","Azett GmbH & Co. KG
Gutenbergstr. 8, 87781 Ungerhausen
Germany","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1139","B·A·D Gesundheitsvorsorge und Sicherheitstechnik GmbH","Germany","Bonn"," http://www.bad-gmbh.de","49228400720","info@bad-gmbh.de","Postfach 300264, 53182 Bonn  Herbert-Rabius-Str. 1, 53225 Bonn Germany","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1140","Baak GmbH & Co. KG","Germany","Hubertusstr. 3, 47638 Straelen"," http://www.baak.de","492834942410","info@baak.de","Baak GmbH & Co. KG
Hubertusstr. 3, 47638 Straelen
Germany","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1141","Balder d.o.o.","Slovenia","LJUBLJANA"," http://www.balder.si","38614264579","info@balder.si","Balder d.o.o. Teslova 30, 1000 Ljubljana Slovenia","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1142","Balzer Bildungskonzepte GmbH","Germany","Am Tennisplatz 12, 21684 Stade"," http://www.balzer-online.de","49414198990",,"Balzer Bildungskonzepte GmbH
Am Tennisplatz 12, 21684 Stade
Germany","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1143","BartelsRieger Atemschutztechnik GmbH","Germany","Richard-Byrd-Str. 23, 50829 Köln"," http://www.bartels-rieger.de","49221597770","mail@bartels-rieger.de","BartelsRieger Atemschutztechnik GmbH
Richard-Byrd-Str. 23, 50829 Köln
Germany","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1144","Basaran is Elbiseleri ve Is Güvenligi Ekipmanlari san. ve. Tic. Ltd. Sti","TURKEY","ISTANBUL"," http://basaraniselbiseleri.com","902163944759","alpaslan@basaraniselbiseleri.com","Basaran is Elbiseleri ve Is Güvenligi Ekipmanlari san. ve. Tic. Ltd. Sti
Merkez Mahallesi Demokrasi Caddesi, Serüven Sokoak No: 3 Orhanli / Tezla, 34956 Istanbul
Turkey","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1145","Base of Trade AB","Sweden","171 54 Solna","baseoftrade.com ","4687750050","bo.gunterberg@baseoftrade.com","Base of Trade AB 
Hemvärnsgatan 15, 7tr 
171 54 Solna, Sweden","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1146","Bauer GmbH","Germany","Eichendorffstr. 62, 46354 Südlohn"," http://www.bauer-suedlohn.de","4928627090","info@bauer-suedlohn.de","Bauer GmbH
Postfach 20 11, 46350 Südlohn 
Eichendorffstr. 62, 46354 Südlohn
Germany","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1147","Bay Publishing Ltd.","UK"," Dorset","bay-publishing.com ","441305785199","jodie@bay-publishing.com","Bay Publishing Ltd. 
1 Oxford Court, The Granby Industrial Estate
DT4 9GH Weymouth, Dorset, United Kingdom","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1148","BBS GLOBAL PVT. LTD.","INDIA","KOLKATA"," http://www.bbsglobal.in","3324192775","info@bbsglobal.in","BBS GLOBAL PVT. LTD.
3 Dr. Rajendra Road, Unit 1A, 700020 Kolkata
India","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1149","Beeswift Ltd.","UK"," West Midlands","beeswift.com ","441215242323","marketing@beeswift.com","Beeswift Ltd. 
West Wing, Delta House, Delta Point Greets Green Road
B70 9PL West Bromwich, West Midlands, United Kingdom","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1150","Bekina ® Boots N.V.","Belgium","9690 Kluisbergen","bekina-boots.be ","3255390020","info@bekina-boots.be","Bekina ® Boots N.V. 
Berchemstraat, 124 
9690 Kluisbergen, Belgium","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1151","Bexus Industries Co., Ltd.","Taiwan","TAICHUNG"," http://www.bexussafety.com","886423392379","service@bexussafety.com","Bexus Industries Co., Ltd. No. 88-8, Sec. 2, Zhongtou W. Rd., Wufeng Dist., 41355 Taichung Taiwan","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1152","BGM-Solutions Gesellschaft für ganzheitliches Gesundheitsmanagement mbH","Germany","Jülich"," http://www.bgm-solutions.de","492461690380","info@bgm-solutions.de","Karl-Heinz-Beckurts-Str. 13, 52428 Jülich Germany","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1153","Bierbaum-Proenen GmbH & Co. KG","Germany","Im Carre Domstrasse,Domstr. 55-73, 50668 Köln"," http://www.bp-online.com","4922116560","info@bierbaum-proenen.de","Bierbaum-Proenen GmbH & Co. KG
Postfach 100442, 50444 Köln 
Im Carre Domstrasse,Domstr. 55-73, 50668 Köln
Germany","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1154","BIG Arbeitsschutz GmbH","Germany","Königsberger Str. 6, 21244 Buchholz in der Nordheide"," http://www.big-arbeitsschutz.de","49418190950","info@big-arbeitsschutz.de","BIG Arbeitsschutz GmbH
Königsberger Str. 6, 21244 Buchholz in der Nordheide
Germany","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1155","Bi-Wear Clothing Company BV","Netherlands","H.J.E. Wenckebachweg 47b, 1096 AK Amsterdam"," http://www.ChaudDevant.com","31204941930","info@ChaudDevant.com","Bi-Wear Clothing Company BV
H.J.E. Wenckebachweg 47b, 1096 AK Amsterdam
Netherlands","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1156","BLACKMAMBA SAS","France","Haillan"," http://www.blackmamba-europe.com","33557225614","info@blackmamba-europe.com","3, rue Jules Verne, 33185 Le Haillan France","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1157","BLS SRL","Italy","Via dei Giovi, 41, 20032 Cormano (MI)"," http://www.blsgroup.it","390239310212","marketing@blsgroup.it","BLS SRL
Via dei Giovi, 41, 20032 Cormano (MI)
Italy","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1158","Bollé Safety SARL","France","69100 Villeurbanne","bolle-safety.com ","3340478851847","rmeunier@bolle-safety.com","Bollé Safety SARL 
95 rue Louis Guerin 
69100 Villeurbanne, France","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1159","Boplan Deutschland GmbH","Germany","Babenhäuser Str. 50, 63762 Großostheim"," http://www.boplan.de","4960269995190","info@boplan.de","Boplan Deutschland GmbH
Babenhäuser Str. 50, 63762 Großostheim
Germany","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1160","BORNACK GmbH & Co. KG","GERMANY","ILSFELD"," http://www.bornack.de","497062269000","info@bornack.de","BORNACK GmbH & Co. KG
Bustadt 39, 74360 Ilsfeld
Germany","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1161","Botsan Ayakkabicilik Tekstil Poliüretan Plastik San. ve Tic. Ltd. Sti","TURKEY","GAZIANTEP"," http://www.botsan.com.tr","903423251212","kemalcaglar@hotmail.com","Botsan Ayakkabicilik Tekstil Poliüretan Plastik San. ve Tic. Ltd. Sti
Cakmak Mah. Basak Sok. No:64, 27080 Gaziantep
Turkey","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1162","BRADY GmbH","Germany","Brady-Str. 1, 63329 Egelsbach"," http://www.bradyeurope.com","4961037598660","csgermany@bradycorp.com","BRADY GmbH
Brady-Str. 1, 63329 Egelsbach
Germany","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1163","Branach Manufacturing Pty Ltd","Australia","3155 Victoria","branach.com.au ","61397616633","patdriscoll@branach.com.au","Branach Manufacturing Pty Ltd 
1/991, Mountain Highway Boronia 
3155 Victoria, Australia
P.O. Box 1/991
3135 Victoria, Australia","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1164","Brimatic GmbH","GERMANY","VELBERT"," http://www.brimatic.de","4920527091","info@brimatic.de","Brimatic GmbH
Uferstr. 19, 42555 Velbert
Germany","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1165","BROEN-LAB A/S","DENMARK","ASSENS"," http://broen-lab.com","4563766376","lab@broen-lab.com","BROEN-LAB A/S
Drejervaenget 2, 5610 Assens
Denmark","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1166","BsAfB Bundesverband selbstständiger Arbeitsmediziner und freiberuflicher Betriebsärzte e.V.","GERMANY","BAD ESSEN"," http://www.bsafb.de","495472943325","info@bsafb.de","BsAfB Bundesverband selbstständiger Arbeitsmediziner und freiberuflicher Betriebsärzte e.V.
Gartenstr. 29, 49152 Bad Essen
Germany","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1167","B-SAFETY GmbH","GERMANY","NORDERSTEDT"," http://www.b-safety.com","494053809270","info@b-safety.com","B-SAFETY GmbH
Oststr. 85, 22844 Norderstedt
Germany","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1168","Bundesanstalt für Arbeitsschutz und Arbeitsmedizin","Germany","Friedrich-Henkel-Weg 1-25, 44149 Dortmund"," http://www.baua.de","4923190710","poststelle@baua.bund.de","Bundesanstalt für Arbeitsschutz und Arbeitsmedizin
Friedrich-Henkel-Weg 1-25, 44149 Dortmund
Germany","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1169","Bundesverband der Asbestose Selbsthilfe e. V.","GERMANY","KIEL"," http://www.asbesterkrankungen.de","491607089086","soenke-bock@web.de","Bundesverband der Asbestose Selbsthilfe e. V.
Karlsbader Straße 123, 24146 Kiel
Germany","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1170","Bundesvereinigung der Deutschen Arbeitgeberverbände e.V.","Germany","Breite Str. 29, Haus der Deutschen Wirtschaft, 10178 Berlin"," http://www.arbeitgeber.de","493020330","soziale.sicherung@arbeitgeber.de","Bundesvereinigung der Deutschen Arbeitgeberverbände e.V.
Breite Str. 29, Haus der Deutschen Wirtschaft, 10178 Berlin
Germany","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1171","Calz. Garsport S.r.l","Italy","31040 Volpago del Montello (Tv)","garsport.it ","390423870044","sales@garsport.it","Calz. Garsport S.r.l 
Via Piave, 15 
31040 Volpago del Montello (Tv), Italy","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1172","Calzaturificio Montebove s.r.l.","Italy","62029 Tolentino","montebove.it ","390733971485","marketing@montebove.it","Calzaturificio Montebove s.r.l. 
via Rossini 10 
62029 Tolentino, Italy","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1173","Carel Lurvink B.V.","NETHERLANDS","ENSCHEDE"," http://www.carellurvink.nl","31534344343","info@carellurvink.nl","Carel Lurvink B.V.
Marssteden 40, 7547 TC Enschede
Netherlands","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1174","Carlos Arboles S.A.","Spain","08191 Rubi","carlosarboles.com ","34935860780","info@carlosarboles.com","Carlos Arboles S.A. 
Compositor Narvaez, 10 Pol. Ind. Can Jardí Street
08191 Rubi, Spain","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1175","Cemo GmbH","Germany","In den Backenländern 5, 71384 Weinstadt"," http://www.cemo.de","49715196360","kontakt@cemo.de","Cemo GmbH
In den Backenländern 5, 71384 Weinstadt
Germany","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1176","Centurion Safety Products Ltd.","UK"," Norfolk","centurionsafety.co.uk ","441842754266","sales@centurionsafety.co.uk","Centurion Safety Products Ltd. 
Howlett Way 
IP24 1HZ Thetford, Norfolk, United Kingdom","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1177","Certottica scrl","Italy","32013 Longarone (BL)","certottica.it ","390437573157","info@certottica.it","Certottica scrl 
Via Villanova 7/A Zona Industriale 
32013 Longarone (BL), Italy","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1178","CG International GmbH","Germany","Irlachstr. 1 A, 83043 Bad Aibling"," http://www.cginternational.de","498061495290","info@cginternational.de","CG International GmbH
Irlachstr. 1 A, 83043 Bad Aibling
Germany","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1179","Chandra Mukhi Impex Limited","India","Kolkata"," http://www.unito.co.in","3330551800","mail@cmimpex.com","33A J. L. Nehru Road, 12th Floor, 700071 Kolkata India","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1180","COFRA S.r.l.","Italy","76121 Barletta (Ba)","cofra.it ","3908833414300","customerservice@cofra.it","COFRA S.r.l. 
Via dell´Euro, 43-59 PO Box 2010 Uff. Postale Barletta C
76121 Barletta (Ba), Italy","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1181","Comazo GmbH & Co. KG","Germany","Martin-Luther-Str. 1, 72461 Albstadt"," http://www.comazo.de","49743270190","info@comazo.de","Comazo GmbH & Co. KG
Postfach 1520, 72438 Albstadt 
Martin-Luther-Str. 1, 72461 Albstadt
Germany","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1182","Confecciones Trivi, S.L.","SPAIN","CAMBADOS"," http://www.trivi.es","34986986542265","trivi@trivi.net","Confecciones Trivi, S.L.
Avda. de Vilagarcía, 51, 36630 Cambados
Spain","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1183","CONIK S.A.","Greece","ELEFSINA"," http://conik.gr","302105560140","info@conik.gr","CONIK S.A.
Sikelianou and Viziinou Str., 19200 Elefsina
Greece","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1184","Contour Design Nordic A/S","Denmark","Ballerup","contourdesign.dk","4570270227","info@contour-design.com","Borupvang 5B, st.tv. 2750 Ballerup, Danmark","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1185","Cosmos Cordes GmbH","Germany","Im Retzer 15, 69231 Rauenberg"," http://www.cosmoccordesgmbh.de","4972539590706",,"Cosmos Cordes GmbH
Im Retzer 15, 69231 Rauenberg
Germany","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1186","Daksafe BV","NETHERLANDS","MONTFOORT"," http://www.daksafe.nl","31348475200","b.torres@daksafe.nl","Daksafe BV
P.O. Box 92, 3417 XJ Montfoort 
Waardsedijk Oost 12, 3417 XJ Montfoort
Netherlands","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1187","dbb beamtenbund und tarifunion","Germany","Friedrichstr. 169, 10117 Berlin"," http://www.dbb.de","493040815301","gb4@dbb.de","dbb beamtenbund und tarifunion
Friedrichstr. 169, 10117 Berlin
Germany","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1188","DELTA PLUS SERVICES S.A.S.","France","84405 Apt Cedex","deltaplus.eu ","33490742033","information@deltaplus.fr","DELTA PLUS SERVICES S.A.S. 
ZAC La Peyroliere 
84405 Apt Cedex, France
P.O. Box BP140
84405 Apt Cedex, France","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1189","Derekduck Industries Corp.","Taiwan","10351 Taipei","derekduck.com ","886225508856","derekduck@derekduck.com","Derekduck Industries Corp. 
9F, No. 70-1, Sec 1, Chengde Rd., 
10351 Taipei, Taiwan","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1190","Desire Solution GmbH","Germany","Ruhenhof 4, 48565 Steinfurt"," http://www.desire-solution.de","49255183510","info@desire-solution.de","Desire Solution GmbH
Ruhenhof 4, 48565 Steinfurt
Germany","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1191","Deutsche Rentenversicherung Bund","Germany","Hohenzollerndamm 45, 10713 Berlin"," http://www.deutsche-rentenversicherung-bund.de","493086582028",,"Deutsche Rentenversicherung Bund
Hohenzollerndamm 45, 10713 Berlin
Germany","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1192","Devisys Oy","Finland","33900 Tampere","devisys.fi ","358503295254","info@devisys.fi","Devisys Oy 
Pöytäsarankatu 1 
33900 Tampere, Finland","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1193","Devold of Norway A/S","Norway","6030 Langevag","devold.com ","4770197700","firmapost@devold.no","Devold of Norway A/S 
Molvaersvegen 12 
6030 Langevag, Norway","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1194","die ergonomie.experten Dr. Wolfgang Schneider","Germany","Otto-Lilienthal-Str. 2, 88046 Friedrichshaven"," http://www.ergonomieexperten.de","4975413003447","info@ergonomieexperten.de","die ergonomie.experten Dr. Wolfgang Schneider
Otto-Lilienthal-Str. 2, 88046 Friedrichshaven
Germany","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1195","Dipped Products PLC","Sri Lanka","400 Deans Road, 01000 Colombo 10"," http://www.dplgroup.com","94112627508",,"Dipped Products PLC
400 Deans Road, 01000 Colombo 10
Sri Lanka","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1196","Division Anatomicos S.L.","Spain","03630 Sax (Alicante)","dian.com ","34902929860","vazquez@dian.com","Division Anatomicos S.L. 
Persianas 8 
03630 Sax (Alicante), Spain
P.O. Box 145
03630 Sax (Alicante), Spain","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1197","Dolezych GmbH & Co. KG","Germany","Hartmannstr. 8, 44147 Dortmund"," http://www.dolezych.de","49231818181","info@dolezych.de","Dolezych GmbH & Co. KG
Postfach 100909, 44009 Dortmund 
Hartmannstr. 8, 44147 Dortmund
Germany","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1198","Dolfing Druten BV","NETHERLANDS","DRUTEN"," http://www.dolfing.nl","31487512823","info@dolfing.nl","Dolfing Druten BV
Westerhout 1, 6651 CW Druten
Netherlands","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1199","domeba distribution GmbH","Germany","Straße der Nationen 41 A/B, 09111 Chemnitz"," http://www.domeba.de","493714002080","info@domeba.de","domeba distribution GmbH
Straße der Nationen 41 A/B, 09111 Chemnitz
Germany","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1200","DONGLIAN FASHION BD LTD.","BANGLADESH","ASHULIA"," http://www.donglian-fashion.com","8801790666668","sky.w@donglian-fashion.com","DONGLIAN FASHION BD LTD.
Hazi Rafiz Tower Unique BUS Stop Jamgorg, Dhaka, 1349 Ashulia
Bangladesh","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1201","Dressguard GmbH","Germany","Pfälzer Waldweg 24, 68753 Waghäusel"," http://www.dressguard.de","497254958690","dressguard@dressguard.de","Dressguard GmbH
Pfälzer Waldweg 24, 68753 Waghäusel
Germany","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1202","DÜPERTHAL Sicherheitstechnik GmbH & Co. KG","Germany","Frankenstr. 3, 63791 Karlstein / Main"," http://www.dueperthal.com","49618891390","info@dueperthal.com","DÜPERTHAL Sicherheitstechnik GmbH & Co. KG
Frankenstr. 3, 63791 Karlstein / Main
Germany","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1203","DuPont de Nemours (Luxembourg) S.a.r.l.","Luxembourg","2984 Contern","personalprotection.dupont.co.uk ","35280036666666","personal.protection@lux.dupont.com","DuPont de Nemours (Luxembourg) S.a.r.l. 
Rue du Général Patton 
2984 Contern, Luxembourg","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1204","Duramitt Sdn Bhd","Malaysia"," Kedah D A","2rabond.com ","6044855388","ykteow@2rabond.com","Duramitt Sdn Bhd 
No. 3, Jalan Baling, Pedang Meha Industrial Estate
09400 Padang Serai, Kedah D A, Malaysia","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1205","Edelrid GmbH & Co. KG","Germany","Achener Weg 66, 88316 Isny im Allgäu"," http://www.edelrid.de","4975629810","mail@edelrid.de","Edelrid GmbH & Co. KG
Achener Weg 66, 88316 Isny im Allgäu
Germany","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1206","EGE IMBAT A.S.","TURKEY","IZMIR"," http://www.egeimbat.com","902324213664","info@egeimbat.com","EGE IMBAT A.S.
1082, Sokak No:8/A Yenisehir Konak, 35170 Izmir
Turkey","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1207","Egochef S.r.l.","Italy","31035 Crocetta del Montello (TV)","egochef.com ","390423665460","sales@egochef.com","Egochef S.r.l. 
Via Antighe 36/B 
31035 Crocetta del Montello (TV), Italy","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1208","EHA - Ewald Hildebrandt GmbH & Co. KG","Germany","Feldstr. 30, 44867 Bochum"," http://www.eha.de","49232799170","kontakt@eha.de","EHA - Ewald Hildebrandt GmbH & Co. KG
Feldstr. 30, 44867 Bochum
Germany","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1209","EIKO A. Eichler Inhaber: Börries Nord","Germany","Bachstr. 12, 38729 Lutter"," http://www.eiko.de","49538396370",,"EIKO A. Eichler Inhaber: Börries Nord
Bachstr. 12, 38729 Lutter
Germany","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
"1210","Einkaufsbüro Deutscher Eisenhändler GmbH","Germany","EDE Platz 1, 42389 Wuppertal"," http://www.ede.de","4920260960",,"Einkaufsbüro Deutscher Eisenhändler GmbH
EDE Platz 1, 42389 Wuppertal
Germany","Anjali",NULL,"2025-06-25 14:13:20","2025-06-25 14:13:20"
